Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
"Theo International Data Corporation (IDC), khả năng quan trọng nào sẽ làm cho điện toán đám mây trở nên cần thiết để các doanh nghiệp thành công, duy trì và cạnh tranh trên thị trường ngày nay?",Multiple Choice,Hạ tầng đa đám mây (Multi-cloud),Quyết định dựa trên dữ liệu (Data-driven decisions),"Áp dụng các công nghệ cấp số nhân như AI, Tự động hóa, IoT và Blockchain",Quy trình làm việc được hỗ trợ bởi nhận thức (Cognitively enabled workflows),,2,60,,
Tại sao American Airlines yêu cầu một nền tảng công nghệ mới?,Multiple Choice,Thiết lập một nền tảng lưu trữ có khả năng mở rộng để phân phối với độ trễ thấp,Yêu cầu dịch vụ khách hàng tốt hơn,Tăng tốc độ tăng trưởng,Loại bỏ các rào cản đối với sự đổi mới,,2,60,,
Chọn câu trả lời mô tả đúng nhất cách Điện toán đám mây giúp các thiết bị IoT?,Multiple Choice,Cung cấp tài nguyên để lưu trữ và xử lý dữ liệu do các thiết bị và người dùng IoT tạo ra.,Rút ra thông tin chi tiết từ dữ liệu được thu thập từ các thiết bị và người dùng IoT,Lưu trữ dữ liệu trên một ổ đĩa vật lý được mã hóa,Cung cấp một vị trí vật lý cố định cho dữ liệu được thu thập từ các thiết bị IoT,,1,60,,
"Điều nào sau đây biểu thị mối quan hệ giữa Blockchain, AI và đám mây?",Multiple Choice,"Blockchain cung cấp một nguồn chân lý phi tập trung, AI cung cấp sức mạnh phân tích và ra quyết định, và đám mây cung cấp tài nguyên máy tính phân tán toàn cầu","Blockchain cung cấp tài nguyên máy tính phân tán, AI cung cấp sức mạnh phân tích, và đám mây ghi lại dữ liệu","Blockchain cung cấp một mạng lưới bất biến, AI cung cấp tài nguyên máy tính phân tán và đám mây cung cấp sức mạnh ra quyết định","Blockchain mang lại sự tin cậy và minh bạch cho AI bằng cách ghi lại dữ liệu và các biến số trong một quyết định được đưa ra trong thuật toán AI, và đám mây cung cấp một mạng lưới bất biến",,1,60,,
"Trong phép loại suy về xe hơi được sử dụng trong video để giải thích và phân biệt ba mô hình dịch vụ, lựa chọn nào được cung cấp là một phép loại suy cho PaaS?",Multiple Choice,Thuê taxi,Mua xe hơi,Thuê xe dài hạn (Leasing a car),Thuê xe ngắn hạn (Renting a car),,4,60,,
Đặc điểm của mô hình cơ sở hạ tầng đám mây dưới dạng dịch vụ (IaaS) là gì?,Multiple Choice,Dữ liệu chỉ có thể được lưu trữ trên các máy vật lý trong mạng,Không có dịch vụ hỗ trợ nào được cung cấp bởi IaaS,Người dùng có thể truy cập tài nguyên mạng trên đám mây thông qua ảo hóa,Người dùng cuối tương tác trực tiếp với cơ sở hạ tầng vật lý,,3,60,,
Những tình huống nào sau đây là trường hợp sử dụng tốt cho PaaS?,Multiple Choice,Triển khai IoT,Các tổ chức muốn quản lý các chi tiết cấp thấp của môi trường ứng dụng,Các tổ chức muốn việc bảo trì ứng dụng của họ được thực hiện bởi nhà cung cấp dịch vụ,"Các tổ chức muốn duy trì toàn quyền kiểm soát việc cài đặt, cấu hình và vận hành cơ sở hạ tầng ứng dụng của họ",,1,60,,
Điều nào sau đây là một trường hợp sử dụng tốt cho SaaS?,Multiple Choice,"Các tổ chức có lực lượng lao động phân tán về mặt địa lý, một số trong đó làm việc ở những khu vực có kết nối internet thất thường hoặc không đáng tin cậy",Các tổ chức muốn giảm cơ sở hạ tầng CNTT tại chỗ và chi tiêu vốn,Các ứng dụng quan trọng đối với doanh nghiệp,Các ứng dụng có dữ liệu rất bí mật và nhạy cảm,,2,60,,
Những tình huống nào sau đây là trường hợp sử dụng tốt cho Public Cloud? Chọn hai.,Checkbox,Giảm thời gian đưa sản phẩm và dịch vụ ra thị trường,Quản lý các nền tảng và ứng dụng quan trọng của doanh nghiệp,"Phục hồi sau thảm họa, bảo vệ dữ liệu và tính liên tục trong kinh doanh",Các ứng dụng có nhu cầu về năng lực và tài nguyên ổn định,,"1,3",60,,
Chúng ta có ý gì khi nói rằng Hybrid Cloud có khả năng tương tác (interoperable)?,Multiple Choice,"Khi có sự gia tăng đột biến về nhu cầu, một khối lượng công việc đang chạy trên đám mây riêng có thể tận dụng thêm dung lượng của đám mây công cộng",Bạn không còn bị ràng buộc với một nhà cung cấp cụ thể,"Các dịch vụ đám mây công cộng và riêng tư có thể hiểu API, cấu hình, định dạng dữ liệu và các hình thức xác thực và ủy quyền của nhau",Các tổ chức có thể chọn chạy các khối lượng công việc nhạy cảm của họ trên một đám mây riêng,,3,60,,
Lợi ích của việc sử dụng private cloud là gì?,Multiple Choice,Khả năng tận dụng tốt hơn các tài nguyên bên ngoài tổ chức,Khả năng cung cấp các tài nguyên hạn chế giúp tiết kiệm chi phí,Quyền truy cập chung cho tất cả mọi người với mức bảo mật tối thiểu,Tận dụng việc sử dụng các hệ thống do tổ chức trực tiếp kiểm soát,,4,60,,
"Trong mô hình dịch vụ đám mây nào, nhà cung cấp dịch vụ quản lý dữ liệu ứng dụng cùng với tài nguyên hạ tầng và nền tảng?",Multiple Choice,CaaS,PaaS,SaaS,IaaS,,3,60,,
"Trong môi trường đám mây IaaS nào, khách hàng có thể triển khai middleware và cài đặt ứng dụng?",Multiple Choice,Máy ảo (Virtual Machines),AI,Blockchain,IoT,,1,60,,
Một trong những mối quan tâm trong việc cấu hình và quản lý hạ tầng đám mây là gì?,Multiple Choice,Giải quyết các vấn đề phức tạp liên quan đến hàng triệu biến số và phép tính,Tính liên tục trong kinh doanh và phục hồi sau thảm họa,Mở rộng hoặc thu hẹp hạ tầng khi nhu cầu thay đổi,Phụ thuộc vào bên thứ ba về tính sẵn sàng và hiệu suất của khối lượng công việc,,4,60,,
Trách nhiệm của người dùng trong mô hình PaaS là gì?,Multiple Choice,Quản lý khối lượng công việc,Hệ thống quản lý quy trình kinh doanh,Hệ thống quản lý cơ sở dữ liệu,Mã ứng dụng và việc bảo trì nó,,4,60,,
Khả năng nào trong mô hình PaaS loại bỏ nhu cầu tích hợp các thành phần riêng lẻ?,Multiple Choice,Cơ chế triển khai nhanh,Môi trường thời gian chạy (Runtime environment),Dịch vụ phân tích kinh doanh,API cho các dịch vụ,,4,60,,
Đặc điểm của mô hình SaaS là gì?,Multiple Choice,Các dịch vụ miễn phí cho người dùng trên đám mây SaaS,Người dùng chỉ có thể thấy ứng dụng của riêng họ,Các ứng dụng nằm trên một mạng đám mây từ xa,Hạ tầng và mã nguồn được người dùng bảo trì,,3,60,,
Vai trò của người dùng trong public cloud là gì?,Multiple Choice,Người dùng bảo trì nền tảng chạy ứng dụng của họ,Người dùng không sở hữu các máy chủ mà ứng dụng của họ chạy trên đó,Người dùng có thể quản lý hoạt động của các máy chủ,Người dùng sở hữu không gian lưu trữ mà dữ liệu của họ tiêu thụ,,2,60,,
Một tính năng của private cloud là gì?,Multiple Choice,Tính di động của ứng dụng (Application portability),Sử dụng tài nguyên máy tính bên ngoài,Bảo mật hạn chế,Truy cập không kiểm soát,,1,60,,
"Nếu một tổ chức cần chạy một ứng dụng có độ nhạy cảm cao và quan trọng với yêu cầu về hiệu suất và dung lượng không thể đoán trước, mô hình nào sau đây sẽ đáp ứng tốt nhất yêu cầu của họ?",Multiple Choice,Private Cloud,Hybrid Cloud,Public Cloud,Trung tâm dữ liệu tại chỗ (On-premise),,2,60,,
Bạn hiểu “cloud bursting” là gì?,Multiple Choice,Bạn có thể hiện đại hóa dần các hệ thống kinh doanh cốt lõi của mình,Bạn có thể khởi tạo môi trường bằng cách sử dụng mô hình trả tiền theo mức sử dụng (pay-as-you-go) trong public cloud,Bạn có thể di chuyển ứng dụng và dữ liệu giữa các hệ thống tại chỗ và đám mây,Bạn có thể tận dụng các instance của public cloud trong một khoảng thời gian nhưng quay trở lại private cloud khi nhu cầu tăng đột biến được đáp ứng,,4,60,,
Đâu là một khu vực địa lý hoặc địa điểm nơi cơ sở hạ tầng của một nhà cung cấp Đám mây được tập trung?,Multiple Choice,Mạng (Networking),Trung tâm dữ liệu (Data center),Kho hàng (Warehouse),Vùng (Region),,4,60,,
Máy ảo (VM) nào sau đây sử dụng trình ảo hóa được lưu trữ (hosted hypervisors)?,Multiple Choice,Microsoft Hyper-V,Open-source KVM,VMware ESX,Oracle VirtualBox,,4,60,,
Loại Máy ảo (VM) nào tận dụng dung lượng không sử dụng trong các trung tâm dữ liệu với chi phí thấp hơn nhiều so với các máy ảo thông thường có kích thước tương tự?,Multiple Choice,Máy ảo chia sẻ hoặc Public Cloud (Shared or Public Cloud VMs),Máy ảo tạm thời hoặc Spot (Transient or Spot VMs),Máy chủ ảo đặt trước (Reserved virtual servers),Máy chủ chuyên dụng (Dedicated hosts),,2,60,,
Tại sao máy chủ vật lý (bare metal servers) cần nhiều thời gian để cấp phát hơn máy chủ ảo?,Multiple Choice,"Chúng là máy chủ đa người thuê (multi-tenant), và tất cả người thuê phải giúp cấu hình chúng",Khách hàng cấu hình các máy chủ vật lý,Việc cấu hình GPU mất thời gian,Chúng là các máy chủ vật lý có thể được tùy chỉnh theo một dung lượng cụ thể,,4,60,,
Phần nào của một mạng đám mây được phân đoạn logic là khu vực chính nơi bảo mật được triển khai?,Multiple Choice,Mạng con (Subnets),Các thực thể logic của các yếu tố mạng,Không gian mạng,Bộ cân bằng tải (Load balancers),,1,60,,
Container là gì?,Multiple Choice,"Một đơn vị phần mềm có thể thực thi trong đó mã ứng dụng được đóng gói cùng với các thư viện và phần phụ thuộc của nó, cho phép nó chạy ở bất kỳ đâu","Một loại máy ảo do nhà cung cấp quản lý, đa người thuê và có thể được cấp phát theo yêu cầu với các kích thước được xác định trước",Một máy chủ vật lý dành riêng cho một khách hàng duy nhất,Một phần mềm lấy tài nguyên từ máy chủ vật lý và phân bổ chúng cho môi trường ảo của bạn,,1,60,,
"Loại lưu trữ nào đôi khi được gọi là ""Lưu trữ cục bộ"" (Local Storage)?",Multiple Choice,Lưu trữ đối tượng (Object Storage),Lưu trữ khối (Block Storage),Lưu trữ tệp (File Storage),Lưu trữ đính kèm trực tiếp (Direct Attached),,4,60,,
Tên gọi khác của Lưu trữ tệp (File Storage) là gì?,Multiple Choice,Ethernet,Lưu trữ đính kèm trực tiếp (Direct attached storage),NFS,COS,,3,60,,
Điều nào sau đây đúng với lưu trữ khối (block storage)?,Multiple Choice,Có thể được gắn vào nhiều nút tính toán cùng một lúc,Được gắn vào các nút tính toán bằng mạng ethernet,Được sử dụng ở những nơi khối lượng công việc không yêu cầu kết nối cực nhanh đến bộ nhớ,Chỉ có thể được gắn vào một nút tại một thời điểm,,4,60,,
Điều nào sau đây đúng với Lưu trữ đối tượng (Object storage)?,Multiple Choice,Bạn không thể chạy hệ điều hành hoặc cơ sở dữ liệu trên đó,Không thể được sử dụng để lưu trữ tệp,Được sử dụng ở những nơi cần tốc độ đọc và ghi nhanh,Có thể lưu trữ các ứng dụng mà nội dung của tệp thay đổi,,1,60,,
Mạng phân phối nội dung (CDN) là gì?,Multiple Choice,Một nút mạng (network node),Một cấu trúc liên kết mạng (network topology),Một liên kết mạng (network link),Một mạng máy chủ phân tán (distributed server network),,4,60,,
Mỗi Vùng (Region) trên Đám mây có thể có nhiều Vùng sẵn sàng (Availability Zones). Zones là gì?,Multiple Choice,Các vị trí vật lý duy nhất với một hoặc nhiều trung tâm dữ liệu,Các container tài nguyên máy tính được tiêu chuẩn hóa,Điểm lỗi đơn lẻ được chia sẻ (Single shared point of failure),Khu vực địa lý nơi cơ sở hạ tầng của nhà cung cấp đám mây được tập trung,,1,60,,
Điều nào sau đây là lợi ích của ảo hóa?,Multiple Choice,Tăng thời gian chết của bạn,An toàn,Tiết kiệm chi phí,Chạy một hệ điều hành duy nhất,,3,60,,
Loại Máy ảo (VM) nào sau đây đảm bảo tài nguyên cho các lần triển khai trong tương lai?,Multiple Choice,Máy ảo tạm thời hoặc Spot (Transient or Spot VMs),Máy ảo chia sẻ hoặc Public Cloud (Shared or Public Cloud VMs),Máy chủ chuyên dụng (Dedicated hosts),Máy chủ ảo đặt trước (Reserved virtual servers),,4,60,,
Điều nào sau đây là một tính năng của máy chủ vật lý (bare metal servers)?,Multiple Choice,Được cấp phát nhanh chóng,Chi phí sử dụng thấp,Nhiều người thuê (Multiple tenants),Hiệu suất cao và an toàn,,4,60,,
Subnet là khu vực chính nơi bảo mật được triển khai trong đám mây. Điều nào sau đây được sử dụng để cung cấp bảo mật ở cấp máy ảo (virtual instance) trong các subnet?,Multiple Choice,Cổng công cộng (Public Gateways),Đám mây riêng ảo (Virtual Private Cloud - VPC),Bộ cân bằng tải (Load Balancers),Nhóm bảo mật (Security Groups - SGs),,4,60,,
Điều nào sau đây là lợi ích của việc cô lập các ứng dụng trong container?,Multiple Choice,Được đóng gói lại thành các container hoặc các microservice được container hóa,Ngăn chặn mã độc trong một container ảnh hưởng đến các container khác,Trừu tượng hóa khỏi hệ điều hành máy chủ,Công cụ thời gian chạy mã nguồn mở (Open-sourced runtime engine),,2,60,,
Loại lưu trữ nào sau đây là tạm thời hoặc không bền vững (ephemeral or non-persistent)?,Multiple Choice,Lưu trữ tệp (File storage),Lưu trữ đính kèm trực tiếp (Direct Attached storage),Lưu trữ đối tượng (Object storage),Lưu trữ khối (Block storage),,2,60,,
Điều gì làm cho Lưu trữ tệp (File storage) trở thành một giải pháp lý tưởng cho các tình huống yêu cầu lưu trữ dùng chung?,Multiple Choice,Lưu trữ tệp được gắn vào các nút tính toán thông qua mạng ethernet,Lưu trữ tệp có thể được gắn từ các thiết bị lưu trữ từ xa,Khả năng truy cập nhanh của lưu trữ tệp qua mạng,Lưu trữ tệp có thể được gắn trên nhiều nút tính toán cùng một lúc,,4,60,,
Tình huống nào sau đây phù hợp nhất với Lưu trữ khối (Block Storage)?,Multiple Choice,Các khối lượng công việc cần chia sẻ đĩa giữa các nút tính toán,Chi phí thấp là một yếu tố cần cân nhắc,Nơi các khối lượng công việc không yêu cầu kết nối nhanh đến bộ nhớ,"Các ứng dụng cần truy cập nhanh và nhất quán vào đĩa, chẳng hạn như cơ sở dữ liệu",,4,60,,
Điều nào sau đây là một tính năng của Lưu trữ đối tượng (Object storage)?,Multiple Choice,Lưu trữ đối tượng có thể được gắn trên nhiều nút tính toán thông qua mạng ethernet,Được sử dụng ở những nơi cần tốc độ đọc và ghi nhanh,Bạn có thể sử dụng trực tiếp Lưu trữ đối tượng mà không cần gắn nó vào một nút tính toán,Bộ nhớ được gắn vào các nút tính toán bằng mạng cáp quang,,3,60,,
Điện toán phi máy chủ (serverless computing) là gì?,Multiple Choice,Một phương pháp tính toán loại bỏ máy chủ khỏi môi trường máy tính.,Một phương pháp tính toán làm tăng trách nhiệm đối với các tác vụ quản lý cơ sở hạ tầng chung.,Một phương pháp tính toán loại bỏ máy chủ khỏi môi trường máy tính và tăng trách nhiệm đối với các tác vụ quản lý cơ sở hạ tầng chung.,Một phương pháp tính toán giảm tải trách nhiệm đối với các tác vụ quản lý cơ sở hạ tầng chung.,,4,60,,
Phương pháp kiến trúc microservices là gì?,Multiple Choice,"Một phương pháp trong đó một ứng dụng duy nhất bao gồm nhiều thành phần hoặc dịch vụ nhỏ hơn, liên kết lỏng lẻo và có thể triển khai độc lập",Một phương pháp trong đó một ứng dụng duy nhất kiểm soát một máy chủ cho một doanh nghiệp.,Một phương pháp trong đó một ứng dụng duy nhất giám sát mạng bảo mật của doanh nghiệp,Một phương pháp trong đó tất cả dữ liệu doanh nghiệp được lưu trữ trong một kho lưu trữ duy nhất,,1,60,,
Danh sách nào sau đây liệt kê tất cả ba phương thức giao tiếp của microservices?,Multiple Choice,"API, luồng sự kiện (event streaming) và trình môi giới tài nguyên (resource brokers)","Luồng sự kiện, trình môi giới thông điệp (message brokers) và mã hóa đám mây","API, giám sát đám mây và trình môi giới thông điệp","API, luồng sự kiện và trình môi giới thông điệp",,4,60,,
Lựa chọn nào sau đây chứa hai môi trường mà một môi trường hybrid cloud kết nối?,Multiple Choice,Đám mây công cộng và đám mây tài nguyên,Đám mây công cộng và đám mây riêng,Đám mây riêng và đám mây tài nguyên,Đám mây riêng và đám mây bảo mật,,2,60,,
Lựa chọn nào sau đây mô tả một chiến lược đa đám mây (multi-cloud)?,Multiple Choice,Chiến lược đám mây hạ tầng,Chiến lược đám mây doanh nghiệp,Chiến lược áp dụng đám mây (Cloud adoption strategy),Chiến lược đám mây chuyên dụng,,3,60,,
Điều nào sau đây là một nguyên tắc phát triển cho các ứng dụng cloud-native?,Multiple Choice,Kết hợp các ứng dụng để tạo ra các microservice với nhiều chức năng,Liên kết chặt chẽ các chức năng khác nhau của ứng dụng để chúng có thể hoạt động cùng nhau như một tổng thể,"Container hóa các microservice để có sự linh hoạt, khả năng mở rộng và tính di động tối đa",Gộp các thành phần chức năng đơn lẻ khác nhau của một ứng dụng thành một phần mềm khổng lồ,,3,60,,
Phát biểu nào sau đây mô tả phương pháp và quy trình DevOps?,Multiple Choice,Loại bỏ nhu cầu giám sát hiệu suất và tính sẵn sàng,"Loại bỏ nhu cầu cấp phát máy chủ, xây dựng middleware và cài đặt mã ứng dụng","Cho phép các nhóm tự do xây dựng, triển khai và quản lý các ứng dụng cloud-native theo một bộ hướng dẫn không chính thức, được định nghĩa lỏng lẻo","Một phương pháp hợp tác trong đó chủ sở hữu doanh nghiệp và các nhóm phát triển, vận hành và đảm bảo chất lượng hợp tác để cung cấp phần mềm liên tục",,4,60,,
Lựa chọn nào được cung cấp gói gọn hành trình hiện đại hóa ứng dụng hoàn chỉnh?,Multiple Choice,"Hành trình từ kiến trúc nguyên khối (monolithic) và hướng dịch vụ (service-oriented) đến kiến trúc microservices, từ máy chủ vật lý và máy ảo đến hạ tầng đám mây, và từ phương pháp thác nước (waterfall) và linh hoạt (agile) đến DevOps",Hành trình từ kiến trúc nguyên khối và hướng dịch vụ đến kiến trúc microservices,Hành trình từ máy chủ vật lý và máy ảo đến hạ tầng đám mây,Hành trình từ các phương pháp phát triển thác nước và linh hoạt đến DevOps,,1,60,,
Điều nào sau đây mô tả một nguyên tắc hoặc hành động phát triển cho các ứng dụng cloud native?,Multiple Choice,Gộp các thành phần chức năng đơn lẻ khác nhau của một ứng dụng thành một phần mềm khổng lồ.,Liên kết chặt chẽ các chức năng khác nhau của ứng dụng để chúng có thể hoạt động cùng nhau như một tổng thể.,"Container hóa các microservice để có sự linh hoạt, khả năng mở rộng và tính di động tối đa.",Kết hợp các ứng dụng để tạo ra các microservice với nhiều chức năng.,,3,60,,
Một công ty giao hoa toàn cầu sẽ tận dụng kiến trúc Hybrid Multicloud như thế nào để đáp ứng yêu cầu về nhu cầu dung lượng thay đổi ở các khu vực địa lý khác nhau?,Multiple Choice,Bằng cách phân phối ứng dụng dịch vụ giao hàng của họ trên nhiều môi trường và nhà cung cấp đám mây trải rộng trên nhiều khu vực địa lý.,Bằng cách sử dụng việc cấp phát và giải phóng tài nguyên tự động mà đám mây cung cấp.,Bằng cách mở rộng quy mô kiến trúc tại chỗ của họ,,,1,60,,
Tình huống nào sau đây KHÔNG phải là một trường hợp sử dụng tốt cho kiến trúc serverless?,Multiple Choice,Các khối lượng công việc xử lý luồng (Stream processing),Hỗ trợ kiến trúc microservices,Các microservice có thể được xây dựng dưới dạng các hàm không trạng thái (stateless functions),Các khối lượng công việc được đặc trưng bởi các quy trình chạy trong thời gian dài (long-running processes),,4,60,,
Cách tiếp cận kiến trúc microservices có thể được mô tả như thế nào?,Multiple Choice,Ảnh hưởng đến toàn bộ ứng dụng khi một microservice ngừng hoạt động.,Yêu cầu xây dựng mọi chức năng mới trong một microservice từ đầu.,Phân rã các ứng dụng lớn thành các chức năng cốt lõi để xây dựng một ứng dụng toàn diện và đầy đủ chức năng.,Bắt buộc phải đóng gói tất cả các microservice cho một tác vụ cụ thể vào một container duy nhất.,,3,60,,
"Điền vào chỗ trống. Kiến trúc microservices là một phương pháp trong đó một ______________ bao gồm nhiều thành phần hoặc dịch vụ nhỏ hơn, liên kết lỏng lẻo và có thể triển khai độc lập.",Multiple Choice,Dịch vụ đám mây,Ứng dụng duy nhất (Single application),Ứng dụng kho lưu trữ (Repository application),Máy chủ (Server),,2,60,,
Một ứng dụng cloud native bao gồm những gì?,Multiple Choice,Các container có thể thực thi (Executable containers),Các tệp có thể thực thi (Executable files),Các microservice,Các container ứng dụng (Application containers),,3,60,,
DevOps và Đám mây chia sẻ một mối quan hệ _________.,Multiple Choice,Nhà cung cấp (Vendor),Cộng sinh (Symbiotic),Đối tác chung (General partnership),Khách hàng (Customer),,2,60,,
Ba lĩnh vực chính mà giám sát đám mây đánh giá là gì?,Multiple Choice,"Hạ tầng, tài nguyên và framework.","Ứng dụng, dữ liệu và framework.","Dữ liệu, ứng dụng và hạ tầng.","Dữ liệu, tài nguyên và hạ tầng.",,3,60,,
Mã hóa dữ liệu làm gì?,Multiple Choice,Làm xáo trộn dữ liệu theo cách làm cho dữ liệu không thể đọc được.,Lưu dữ liệu lên đám mây và có thể truy cập được bởi bất kỳ người dùng được chia sẻ nào.,Lưu trữ dữ liệu trên đám mây nơi nó có thể được truy cập ngay cả khi không có khóa.,Giữ cho dữ liệu nhạy cảm được bảo vệ bằng mật khẩu.,,1,60,,
Mục đích của dịch vụ thư mục đám mây (cloud directory services) là gì?,Multiple Choice,Mã hóa tài khoản người dùng.,Lưu trữ an toàn dữ liệu người dùng trong một kho lưu trữ.,Quản lý an toàn hồ sơ người dùng và thông tin xác thực của họ.,Phục vụ như một trung tâm dữ liệu cho các tệp và thư mục.,,3,60,,
